customer_name,channel_code,brand_name,product_name,gsv_keur_2023,gsv_keur_2024,turnover_keur_2023,turnover_keur_2024,discount_keur_2023,discount_keur_2024,gsv_change_keur,to_change_keur,discount_change_keur,gsv_growth_pct,to_growth_pct,discount_pct_gsv_2023,discount_pct_gsv_2024,discount_pct_gsv_movement_bps
Bliss,MT,OLIVE,POUCH 900GR,14676.6,8281.7,12771.0,7122.0,1905.6000000000001,1159.7,-6394.9,-5649.0,-745.9000000000001,-0.4357208072714388,-0.4423302795395818,0.12983933608601447,0.14003163601675983,101.92299930745358
Bliss,MT,OLIVE,PACK 1.1KG,2188.0,1704.6,1982.9,1538.4,205.10000000000002,166.20000000000007,-483.4000000000001,-444.5,-38.89999999999995,-0.22093235831809876,-0.22416662464067783,0.09373857404021939,0.09750087997184095,37.62305931621565
Bliss,MT,OLIVE,POUCH 100GR,220.8,86.8,193.3,76.2,27.499999999999993,10.600000000000001,-134.0,-117.10000000000001,-16.89999999999999,-0.6068840579710145,-0.6057941024314537,0.12454710144927532,0.12211981566820279,-24.272857810725274
Bliss,MT,OLIVE,POUCH 400GR,2053.4,1117.7,1790.1,971.1,263.29999999999995,146.6,-935.7,-818.9999999999999,-116.69999999999996,-0.4556832570371092,-0.457516339869281,0.1282263562871335,0.13116220810593182,29.35851818798324
Candies,DT,OLIVE,POUCH 900GR,8814.3,10667.6,6664.2,7994.7,2150.1,2672.8999999999996,1853.300000000001,1330.5,522.7999999999997,0.21026059925348606,0.19964887008193033,0.24393315407916683,0.2505624507855562,66.29296706389398
Candies,DT,OLIVE,PACK 1.1KG,17067.9,12891.5,12908.5,9697.0,4159.400000000001,3194.4999999999995,-4176.4000000000015,-3211.5,-964.900000000001,-0.2446932545890239,-0.24878955726846652,0.24369723281715971,0.24779893728425703,41.01704467097317
Candies,DT,OLIVE,POUCH 100GR,1774.1,932.5,1340.6,698.9,433.49999999999994,233.59999999999997,-841.5999999999999,-641.6999999999999,-199.89999999999998,-0.4743813764725776,-0.4786662688348501,0.24434924750577755,0.25050938337801604,61.601358722384866
Candies,DT,OLIVE,POUCH 400GR,835.0,871.8,631.2,658.4,203.79999999999998,213.39999999999998,36.799999999999955,27.199999999999932,9.599999999999994,0.04407185628742516,0.0430925221799745,0.24407185628742514,0.24478091305345262,7.090567660274772
Macarons,MT,OLIVE,POUCH 900GR,9648.0,6600.0,8394.2,5732.7,1253.8000000000002,867.3000000000001,-3048.0,-2661.500000000001,-386.5000000000001,-0.3159203980099502,-0.31706416335088516,0.1299543946932007,0.13140909090909092,14.546962158902277
Macarons,MT,OLIVE,PACK 1.1KG,2462.5,1875.3999999999999,2127.8,1636.1,334.70000000000005,239.3,-587.1000000000001,-491.7000000000003,-95.40000000000003,-0.2384162436548224,-0.23108374847260094,0.13591878172588834,0.127599445451637,-83.19336274251327
Macarons,MT,OLIVE,POUCH 100GR,220.00000000000003,9.0,190.0,8.5,30.000000000000014,0.5000000000000001,-211.00000000000003,-181.5,-29.500000000000014,-0.9590909090909091,-0.9552631578947368,0.1363636363636364,0.055555555555555566,-808.0808080808084
Macarons,MT,OLIVE,POUCH 400GR,1385.7,1061.3,1146.0,842.8,239.70000000000005,218.5,-324.4000000000001,-303.20000000000005,-21.200000000000045,-0.2341055062423325,-0.26457242582897034,0.17298116475427586,0.2058795816451522,328.9841689087633
