reporting_month,reporting_year,month_number,customer_code,customer_name,channel_code,brand_code,brand_name,product_key,product_name,pack_type,pack_size,product_group_lv1,product_group_lv2,gsv_keur,turnover_keur,discount_keur,discount_pct_to,discount_pct_gsv,gsv_record_count,turnover_record_count,mapping_review_required,certified_for_analysis,data_quality_status,data_quality_flags,gsv_source_files,gsv_source_rows,turnover_source_files,turnover_source_rows
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,BOTTLE|500GR,BOTTLE 500GR,BOTTLE,500GR,BOTTLE,MEDIUM BOTTLE,0.0,0.0,0.0,,,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,384,inputs/sales/Cust 1.xlsx,385
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,BOX|50GR,BOX 50GR,BOX,50GR,BOX,SMALL BOX,4.7,4.6,0.10000000000000053,0.021739130434782726,0.021276595744680965,1,1,True,True,REVIEW,PRODUCT_MAPPING_REVIEW,inputs/sales/Cust 1.xlsx,646,inputs/sales/Cust 1.xlsx,647
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,PACK|1.1KG,PACK 1.1KG,PACK,1.1KG,PACK,BIG PACK,27.0,26.0,1.0,0.038461538461538464,0.037037037037037035,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,188,inputs/sales/Cust 1.xlsx,189
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,PACK|250GR,PACK 250GR,PACK,250GR,PACK,SMALL PACK,4.9,4.8,0.10000000000000053,0.020833333333333447,0.02040816326530623,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,506,inputs/sales/Cust 1.xlsx,507
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,POUCH|100GR,POUCH 100GR,POUCH,100GR,POUCH,SMALL POUCH,7.7,7.4,0.2999999999999998,0.040540540540540515,0.03896103896103894,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,576,inputs/sales/Cust 1.xlsx,577
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,POUCH|400GR,POUCH 400GR,POUCH,400GR,POUCH,MEDIUM POUCH,75.8,72.4,3.3999999999999915,0.04696132596685071,0.044854881266490655,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,402,inputs/sales/Cust 1.xlsx,403
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00001,OLIVE,POUCH|900GR,POUCH 900GR,POUCH,900GR,POUCH,BIG POUCH,222.0,211.8,10.199999999999989,0.048158640226628836,0.04594594594594589,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,258,inputs/sales/Cust 1.xlsx,259
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00005,COBALT,POUCH|100GR,POUCH 100GR,POUCH,100GR,POUCH,SMALL POUCH,0.0,0.0,0.0,,,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,102,inputs/sales/Cust 1.xlsx,103
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00005,COBALT,POUCH|900GR,POUCH 900GR,POUCH,900GR,POUCH,BIG POUCH,9.4,9.1,0.3000000000000007,0.032967032967033044,0.03191489361702135,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,4,inputs/sales/Cust 1.xlsx,5
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00009,SKY,BOTTLE|1KG,BOTTLE 1KG,BOTTLE,1KG,BOTTLE,BIG BOTTLE,1.2,1.2,0.0,0.0,0.0,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,706,inputs/sales/Cust 1.xlsx,707
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00009,SKY,PACK|1.1KG,PACK 1.1KG,PACK,1.1KG,PACK,BIG PACK,7.4,7.1,0.3000000000000007,0.04225352112676067,0.04054054054054063,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,776,inputs/sales/Cust 1.xlsx,777
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00009,SKY,POUCH|100GR,POUCH 100GR,POUCH,100GR,POUCH,SMALL POUCH,0.2,0.2,0.0,0.0,0.0,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,928,inputs/sales/Cust 1.xlsx,929
2022-01-01,2022,1,00000001,Sweeties,MT,CBG00009,SKY,POUCH|900GR,POUCH 900GR,POUCH,900GR,POUCH,BIG POUCH,13.2,12.7,0.5,0.03937007874015748,0.03787878787878788,1,1,False,True,VALID,OK,inputs/sales/Cust 1.xlsx,846,inputs/sales/Cust 1.xlsx,847
2022-01-01,2022,1,00000002,Delights,MT,CBG00001,OLIVE,BAR|150GR,BAR 150GR,BAR,150GR,BAR,SMALL BAR,0.0,0.0,0.0,,,1,1,True,True,REVIEW,PRODUCT_MAPPING_REVIEW,inputs/sales/Cust 2.xlsx,332,inputs/sales/Cust 2.xlsx,333
2022-01-01,2022,1,00000002,Delights,MT,CBG00001,OLIVE,BOX|50GR,BOX 50GR,BOX,50GR,BOX,SMALL BOX,0.4,0.4,0.0,0.0,0.0,1,1,True,True,REVIEW,PRODUCT_MAPPING_REVIEW,inputs/sales/Cust 2.xlsx,614,inputs/sales/Cust 2.xlsx,615
2022-01-01,2022,1,00000002,Delights,MT,CBG00001,OLIVE,PACK|1.1KG,PACK 1.1KG,PACK,1.1KG,PACK,BIG PACK,91.6,73.0,18.599999999999994,0.2547945205479451,0.2030567685589519,1,1,False,True,VALID,OK,inputs/sales/Cust 2.xlsx,164,inputs/sales/Cust 2.xlsx,165
2022-01-01,2022,1,00000002,Delights,MT,CBG00001,OLIVE,PACK|250GR,PACK 250GR,PACK,250GR,PACK,SMALL PACK,39.3,31.6,7.699999999999996,0.24367088607594922,0.1959287531806615,1,1,False,True,VALID,OK,inputs/sales/Cust 2.xlsx,474,inputs/sales/Cust 2.xlsx,475
2022-01-01,2022,1,00000002,Delights,MT,CBG00001,OLIVE,POUCH|100GR,POUCH 100GR,POUCH,100GR,POUCH,SMALL POUCH,12.9,10.3,2.5999999999999996,0.25242718446601936,0.2015503875968992,1,1,False,True,VALID,OK,inputs/sales/Cust 2.xlsx,544,inputs/sales/Cust 2.xlsx,545
2022-01-01,2022,1,00000002,Delights,MT,CBG00001,OLIVE,POUCH|400GR,POUCH 400GR,POUCH,400GR,POUCH,MEDIUM POUCH,52.1,40.1,12.0,0.29925187032418954,0.23032629558541265,1,1,False,True,VALID,OK,inputs/sales/Cust 2.xlsx,376,inputs/sales/Cust 2.xlsx,377
